Seed,T1,D1,Ratio1,T2,D2,Ratio2,H,m,Original_m,Percentage_m,Command
194,1660,1849.427653,1.114113,34702,36302.033509,1.046108,28802660,1,18204,0.000165,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
195,109763,142247.132255,1.295948,8844,10962.580456,1.239550,970743972,1,118624,0.000025,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
196,67161,59029.558461,0.878926,133016,110592.816049,0.831425,8933487576,3,200180,0.000025,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
197,24374,25802.250867,1.058597,106361,108775.728030,1.022703,2592443014,1,130741,0.000023,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
198,131531,123729.207781,0.940685,230162,210366.955041,0.913995,30273438022,5,361696,0.000019,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
199,241350,199673.330212,0.827319,56521,62826.021036,1.111552,13641343350,6,297876,0.000027,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
200,46289,32542.392347,0.703026,27657,35884.090218,1.297469,1280214873,8,73949,0.000135,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
201,5305,6299.169256,1.187402,153146,136769.703230,0.893067,812439530,8,158478,0.000063,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
202,261037,199893.210875,0.765766,125174,135307.854634,1.080958,4667863634,6,55176,0.000145,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
203,218907,207481.767182,0.947808,249686,243145.289064,0.973804,54658013202,4,468596,0.000013,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
204,176886,146787.852218,0.829844,73863,64036.414135,0.866962,1451703402,2,27865,0.000144,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
205,284024,287174.647125,1.011093,197890,150019.407932,0.758095,28102754680,10,240960,0.000050,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
