Seed,T1,D1,Ratio1,a_1,T2,D2,Ratio2,a_2,t,diff1,diff2,task1_gen_t,task2_gen_t,H,m,Command
750,79960,102212.093234,1.278290,1,86056,63297.479036,0.735538,0.99999999999999989,1.000000,-22252.093234,22758.520964,0,0,860129720,9,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=750
750,79960,102212.093234,1.278290,0.99864432663500835,86056,63297.479036,0.735538,1.0013795439807913,16414052.093234,0.000000,114.614198,1,0,860129720,9,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=750
750,79960,102212.093234,1.278290,0.99937501936060935,86056,63297.479036,0.735538,1.0006384568622511,35604452.093234,0.000000,26.614198,1,0,860129720,9,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=750
750,79960,102212.093234,1.278290,0.99994846741304344,86056,63297.479036,0.735538,1.0000526993452628,431806252.093234,0.000000,2.614198,1,0,860129720,9,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=750
750,79960,102212.093234,1.278290,0,86056,63297.479036,0.735538,1.3595486156852352,63297.479036,41045.385802,0.000000,0,1,860129720,9,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=750
750,79960,102212.093234,1.278290,0.96092851118236799,86056,63297.479036,0.735538,1.0341878934255861,665689.479036,3757.385802,0.000000,0,1,860129720,9,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=750
750,79960,102212.093234,1.278290,0.99641343707638885,86056,63297.479036,0.735538,1.0036359359321227,6259329.479036,197.385802,0.000000,0,1,860129720,9,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=750
750,79960,102212.093234,1.278290,0.99981827211926899,86056,63297.479036,0.735538,1.0001857520234174,122520985.479036,13.385802,0.000000,0,1,860129720,9,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=750
750,79960,102212.093234,1.278290,0.99991969552411464,86056,63297.479036,0.735538,1.000082112223714,277163617.479036,5.385802,0.000000,0,1,860129720,9,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=750
