Seed,T1,D1,Ratio1,a_1,T2,D2,Ratio2,a_2,t,diff1,diff2,task1_gen_t,task2_gen_t,H,m,Command
477,127648,115265.665292,0.902996,0.99999999999999989,4000,4397.945513,1.099486,1,1.000000,12382.334708,-397.945513,0,0,15956000,6,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=477
477,127648,115265.665292,0.902996,1.1074243112816344,4000,4397.945513,1.099486,0.97166836036242676,115265.665292,0.000000,2867.719778,1,0,15956000,6,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=477
477,127648,115265.665292,0.902996,1.0966516585597395,4000,4397.945513,1.099486,0.99658116377013162,116397.945513,1132.280222,0.000000,0,1,15956000,6,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=477
477,127648,115265.665292,0.902996,1.0095555790245241,4000,4397.945513,1.099486,0.99968526877585107,1264397.945513,300.280222,0.000000,0,1,15956000,6,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=477
477,127648,115265.665292,0.902996,1.0030296780059009,4000,4397.945513,1.099486,0.99990228226255706,4072397.945513,44.280222,0.000000,0,1,15956000,6,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=477
477,127648,115265.665292,0.902996,1.001470455221795,4000,4397.945513,1.099486,0.99995269535324183,8412397.945513,12.280222,0.000000,0,1,15956000,6,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=477
