Seed,T1,D1,Ratio1,a_1,T2,D2,Ratio2,a_2,t,diff1,diff2,task1_gen_t,task2_gen_t,H,m,Command
113,142395,114558.367674,0.804511,1,196095,213236.251310,1.087413,1,1.000000,27836.632326,-17141.251310,0,0,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.242990825474124,196095,213236.251310,1.087413,0,114558.367674,0.000000,97417.116364,1,0,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.1083334014185102,196095,213236.251310,1.087413,0.76315403754051325,256953.367674,0.000000,43717.116364,1,0,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.0199386618383559,196095,213236.251310,1.087413,0.98320453896017901,1396113.367674,0.000000,6307.116364,1,0,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.0061465756108454,196095,213236.251310,1.087413,0.99588889908384259,4528803.367674,0.000000,1477.116364,1,0,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.0009784004951336,196095,213236.251310,1.087413,0.99938883456366157,28451163.367674,0.000000,247.116364,1,0,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.0001071286438956,196095,213236.251310,1.087413,0.99993394717140871,259843038.367674,0.000000,22.116364,1,0,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.0000310753310342,196095,213236.251310,1.087413,0.99998085647732371,895779108.367674,0.000000,7.116364,1,0,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.043616871747193,196095,213236.251310,1.087413,0.95812376588721893,409331.251310,9982.883636,0.000000,0,1,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.0044124619602792,196095,213236.251310,1.087413,0.99718815472700495,6096086.251310,937.883636,0.000000,0,1,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.0006797056628958,196095,213236.251310,1.087413,0.99957584505521246,40412711.251310,367.883636,0.000000,0,1,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.0000908585463046,196095,213236.251310,1.087413,0.9999440050604772,306121436.251310,22.883636,0.000000,0,1,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
113,142395,114558.367674,0.804511,1.0000181683572378,196095,213236.251310,1.087413,0.99998880911316701,1531715186.251310,7.883636,0.000000,0,1,1861529835,13,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=113
