Seed,T1,D1,Ratio1,a_1,T2,D2,Ratio2,a_2,t,diff1,diff2,task1_gen_t,task2_gen_t,H,m,Command
803,227447,159444.443784,0.701018,1,53153,53855.330941,1.013213,1,1.000000,68002.556216,-702.330941,0,0,525630017,8,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=803
803,227447,159444.443784,0.701018,1.4264968700240561,53153,53855.330941,1.013213,0.66672752889586284,159444.443784,0.000000,52436.112842,1,0,525630017,8,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=803
803,227447,159444.443784,0.701018,1.1757665032635414,53153,53855.330941,1.013213,0.96169353439651672,386891.443784,0.000000,14118.112842,1,0,525630017,8,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=803
803,227447,159444.443784,0.701018,1.0688922590135759,53153,53855.330941,1.013213,0.99917484501178033,851150.330941,9364.887158,0.000000,0,1,525630017,8,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=803
803,227447,159444.443784,0.701018,1.0369423677963105,53153,53855.330941,1.013213,0.99959975471799511,1754751.330941,3177.887158,0.000000,0,1,525630017,8,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=803
803,227447,159444.443784,0.701018,1.0067759100559781,53153,53855.330941,1.013213,0.99992934519084875,9940313.330941,647.887158,0.000000,0,1,525630017,8,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=803
803,227447,159444.443784,0.701018,1.0006939005959796,53153,53855.330941,1.013213,0.99999283055443966,97961681.330941,26.887158,0.000000,0,1,525630017,8,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=803
803,227447,159444.443784,0.701018,1.0001505588667627,53153,53855.330941,1.013213,0.99999844493793655,451641743.330941,3.887158,0.000000,0,1,525630017,8,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=803
