Seed,T1,D1,Ratio1,a_1,T2,D2,Ratio2,a_2,t,diff1,diff2,task1_gen_t,task2_gen_t,H,m,Command
17,171539,132706.863659,0.773625,1,559,698.913597,1.250293,1,1.000000,38832.136341,-139.913597,0,0,95890301,7,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=17
17,171539,132706.863659,0.773625,1.292615884894059,559,698.913597,1.250293,0.99831309660438516,132706.863659,0.000000,83.950062,1,0,95890301,7,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=17
17,171539,132706.863659,0.773625,1.2880052205828427,559,698.913597,1.250293,0.9989494549739858,133181.913597,475.049938,0.000000,0,1,95890301,7,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=17
17,171539,132706.863659,0.773625,1.0814714193840906,559,698.913597,1.250293,0.99970597054466992,475848.913597,64.049938,0.000000,0,1,95890301,7,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=17
17,171539,132706.863659,0.773625,1.0231477562987734,559,698.913597,1.250293,0.99991654825857212,1676580.913597,23.049938,0.000000,0,1,95890301,7,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=17
17,171539,132706.863659,0.773625,1.0056905459313306,559,698.913597,1.250293,0.99997949303341604,6822734.913597,7.049938,0.000000,0,1,95890301,7,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=17
17,171539,132706.863659,0.773625,1.0018438380426278,559,698.913597,1.250293,0.99999335657605581,21060464.913597,0.049938,0.000000,0,1,95890301,7,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -e --rand-seed=17
